date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	BNB	BNB quote	BNB $	BNB %	factor γBNB	γBNB	total	Total	Total without trades	diff
2025-03-18	0.01251	$82,576.00	$1,032.83	72.46%	6,104.77	76.36	0.6210	$632.14	$392.56	27.54%	41.44	25.73	102.09	$1,425.39	$1,442.75	-$17.36
2025-02-15	0.00911	$97,690.00	$889.96	55.93%	6,104.77	55.61	1.0620	$660.22	$701.15	44.07%	41.44	44.01	99.62	$1,591.11	$1,596.57	-$5.46
2025-02-14	0.00491	$96,611.00	$474.36	29.76%	6,104.77	29.97	1.6810	$665.99	$1,119.53	70.24%	41.44	69.66	99.64	$1,593.89	$1,595.37	-$1.48
2025-02-13	0.00942	$96,171.00	$905.93	55.15%	6,104.77	57.51	1.0170	$724.37	$736.68	44.85%	41.44	42.15	99.65	$1,642.62	$1,665.38	-$22.76
2025-02-11	0.00522	$97,343.00	$508.13	33.06%	6,104.77	31.87	1.6170	$636.21	$1,028.75	66.94%	41.44	67.01	98.88	$1,536.88	$1,563.64	-$26.76
2025-02-09	0.00088	$96,230.00	$84.68	5.65%	6,104.77	5.37	2.2780	$620.56	$1,413.64	94.35%	41.44	94.40	99.77	$1,498.32	$1,535.23	-$36.91
2025-02-05	0.00000	$99,550.00	$0.00	0.00%	6,104.77	0.00	2.4140	$587.31	$1,417.77	100.00%	41.44	100.04	100.04	$1,417.77	$1,519.42	-$101.65
2025-01-20	0.00188	$106,827.00	$200.83	12.23%	6,104.77	11.48	2.0920	$688.71	$1,440.78	87.77%	41.44	86.69	98.17	$1,641.62	$1,704.05	-$62.44
2024-12-17	0.00406	$107,317.00	$435.71	25.55%	6,104.77	24.79	1.7540	$723.94	$1,269.79	74.45%	41.44	72.69	97.47	$1,705.50	$1,752.22	-$46.72
2024-12-11	0.00706	$99,315.00	$701.16	43.54%	6,104.77	43.10	1.3152	$691.34	$909.25	56.46%	41.44	54.50	97.60	$1,610.41	$1,648.47	-$38.05
2024-12-06	0.00942	$99,010.00	$932.67	56.96%	6,104.77	57.51	0.9806	$718.79	$704.85	43.04%	41.44	40.64	98.14	$1,637.52	$1,680.61	-$43.09
2024-12-04	0.00924	$95,705.00	$884.31	53.16%	6,104.77	56.41	1.0097	$771.57	$779.05	46.84%	41.44	41.84	98.25	$1,663.37	$1,721.11	-$57.74
2024-11-29	0.00759	$96,871.00	$734.77	47.77%	6,104.77	46.30	1.2215	$657.59	$803.27	52.23%	41.44	50.62	96.93	$1,538.03	$1,586.84	-$48.81
2024-11-26	0.00293	$91,824.77	$269.05	44.45%	15169.05	44.45	0.5357	$627.77	$336.30	55.55%	103.70	55.55	100.00	$605.34	$605.34	$0.00
