date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	DOGE	DOGE quote	DOGE $	DOGE %	factor γDOGE	γDOGE	total	Total	Total without trades	diff
2025-04-23	0.00653	$93,704.00	$612.17	55.99%	5,404.19	35.31	2628.67	$0.1831	$481.28	44.01%	0.0215	56.61	91.91	$1,093.45	$1,252.43	-$158.98
2025-04-17	0.00590	$84,786.00	$499.81	51.82%	5,404.19	31.86	2962.67	$0.1568	$464.66	48.18%	0.0215	63.80	95.66	$964.48	$1,111.01	-$146.53
2025-03-13	0.00615	$82,862.00	$509.97	51.41%	5,404.19	33.26	2836.04	$0.1700	$482.05	48.59%	0.0215	61.07	94.33	$992.02	$1,127.83	-$135.81
2025-02-05	0.00001	$98,209.00	$0.98	0.06%	5,404.19	0.05	5836.00	$0.26622	$1,553.67	99.94%	0.0215	125.68	125.73	$1,554.65	$1,499.79	$54.85
2025-01-28	0.00442	$102,705.00	$453.96	24.72%	5,404.19	23.89	4173.00	$0.3313	$1,382.62	75.28%	0.0215	89.87	113.75	$1,836.58	$1,701.70	$134.88
2025-01-10	0.00972	$94,407.00	$917.64	47.81%	5,404.19	52.53	2512.00	$0.39870	$1,001.53	52.19%	0.0215	54.10	106.62	$1,919.17	$1,801.25	$117.92
2025-01-04	0.01500	$97,784.00	$1,466.76	78.78%	5,404.19	81.06	1014.00	$0.38966	$395.11	21.22%	0.0215	21.84	102.90	$1,861.87	$1,807.00	$54.87
2024-12-19	0.00447	$96,921.46	$433.24	36.28%	7,928.08	35.44	2360.00	$0.3224	$760.86	63.72%	0.0264	62.24	97.68	$1,194.10	$1,222.54	-$28.43
2024-12-12	0.00347	$101,570.00	$352.45	33.35%	9,240.34	32.06	1767.00	$0.3987	$704.50	66.65%	0.0392	69.23	101.29	$1,056.95	$1,059.18	-$2.24
2024-11-29	0.00551	$96,871.00	$533.76	50.91%	9,240.34	50.91	1252.91	$0.4107	$514.59	49.09%	0.0392	49.09	100.00	$1,048.35	$1,048.35	$0.00
