date	blockchain	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	USDC	USDC quote	USDC $	USDC %	factor γUSDC	γUSDC	total	adj	Total	Total without trades	diff
2025-11-23	Avalanche	0.446774	$86,526.00	$38,657.60	85.79%	542.09	242.19	6,403.03	$1.00	$6,403.03	14.21%	0.004608	29.51	271.70	98.07	$45,060.62	$46,995.32	-$1,934.69
2025-11-20	Avalanche	0.475314	$91,500.00	$43,491.26	91.76%	542.09	257.66	3,906.59	$1.00	$3,906.59	8.24%	0.004608	18.00	275.66	99.39	$47,397.85	$49,073.15	-$1,675.30
2025-11-06	Avalanche	0.435760	$103,008.00	$44,886.74	85.32%	542.09	236.22	7,723.84	$1.00	$7,723.84	14.68%	0.004608	35.59	271.81	98.17	$52,610.58	$53,880.50	-$1,269.92
2025-11-05	Avalanche	0.460360	$102,636.00	$47,249.48	90.04%	542.09	249.56	5,229.01	$1.00	$5,229.01	9.96%	0.004608	24.10	273.65	98.72	$52,478.49	$53,725.10	-$1,246.61
2025-10-21	Avalanche	0.432044	$108,555.00	$46,900.49	85.08%	542.09	234.21	8,225.23	$1.00	$8,225.23	14.92%	0.004608	37.90	272.11	98.30	$55,125.72	$56,197.70	-$1,071.97
2025-10-07	Avalanche	0.423516	$124,544.00	$52,746.33	87.19%	542.09	229.58	7,746.93	$1.00	$7,746.93	12.81%	0.004608	35.70	265.28	95.82	$60,493.26	$62,876.93	-$2,383.67
2025-09-01	Avalanche	0.450823	$108,776.00	$49,038.68	86.80%	542.09	244.39	7,458.91	$1.00	$7,458.91	13.20%	0.004608	34.37	278.76	100.66	$56,497.59	$56,290.02	$207.57
2025-08-25	Avalanche	0.447391	$111,395.00	$49,837.08	86.37%	542.09	242.52	7,861.77	$1.00	$7,861.77	13.63%	0.004608	36.23	278.75	100.67	$57,698.85	$57,384.08	$314.77
2025-08-19	Avalanche	0.424864	$114,561.00	$48,672.80	82.46%	542.09	230.31	10,353.96	$1.00	$10,353.96	17.54%	0.004608	47.71	278.03	100.52	$59,026.76	$58,706.64	$320.12
2025-08-15	Avalanche	0.111585	$118,774.00	$13,253.35	52.78%	542.09	60.49	11,855.81	$1.00	$11,855.81	47.22%	0.004608	54.64	115.12	97.44	$25,109.16	$25,764.37	-$655.21
2025-08-12	Avalanche	0.111544	$118,881.00	$13,260.41	52.80%	542.09	60.47	11,855.81	$1.00	$11,855.81	47.20%	0.004608	54.64	115.10	97.42	$25,116.23	$25,777.81	-$661.58
2025-08-11	Avalanche	0.115727	$119,887.00	$13,874.11	55.00%	542.09	62.73	11,349.45	$1.00	$11,349.45	45.00%	0.004608	52.30	115.04	97.37	$25,223.57	$25,904.13	-$680.57
2025-08-10	Avalanche	0.119895	$118,367.00	$14,191.56	56.68%	542.09	64.99	10,847.36	$1.00	$10,847.36	43.32%	0.004608	49.99	114.98	97.33	$25,038.92	$25,713.27	-$674.35
2025-08-06	Avalanche	0.123921	$113,883.00	$14,112.45	57.70%	542.09	67.18	10,347.35	$1.00	$10,347.35	42.30%	0.004608	47.68	114.86	97.23	$24,459.80	$25,150.21	-$690.42
2025-07-31	Avalanche	0.119300	$117,991.00	$14,076.37	56.47%	542.09	64.67	10850.00	$1.00	$10,850.00	43.53%	0.004608	50.00	114.67	97.07	$24,926.37	$25,666.05	-$739.69
2025-07-30	Avalanche	0.092236	$117,633.00	$10,850.00	50.00%	542.09	50.00	10850.00	$1.00	$10,850.00	50.00%	0.004608	50.00	100.00	100.00	$21,700.00	$21,700.00	$0.00
